Id,Name,Points
0,Julia Drwęska-Michalska,37
1,Barbara Woj,33
2,Jagoda Nowacka,33
3,Wiktoria Kuropaczewska,24
4,Natalia  Jarosz,24
5,Dżemila Murzicz,23
6,Dominika Matyjaszczyk ,23
7,Jolanta Jacek,21
8,Natalia Kita,16
9,Nicol Zylka,15
10,Ania Rogala,14
11,Marianna Ignasiak,12
12,Patrycja Bartoszewska,12
13,Ewa Profaska,11
14,Joanna  Nawrocka-Rohnka ,10
