Id,Name,Points
0,Julia Drwęska-Michalska,76
1,Jagoda Nowacka,61
2,Natalia  Jarosz,60
3,Sara Struzik,53
4,Dominika Matyjaszczyk ,50
5,Barbara Woj,46
6,Natalia Kita,43
7,Dżemila Murzicz,41
8,Ania Rogala,39
9,Marianna Ignasiak,28
10,Nicol Zylka,25
11,Wiktoria Kuropaczewska,24
12,Maria Brykner,24
13,Jolanta Jacek,21
14,Paulina Ratajczyk,16
15,Katarzyna Łojek,13
16,Patrycja Bartoszewska,12
17,Ewa Profaska,11
18,Joanna  Nawrocka-Rohnka ,10
