Id,Name,Points
0,Kacper Gajewy,93
1,Dawid Ratajczyk,89
2,Szymon Balawajder,83
3,Łukasz Surowiecki,75
4,Tomasz Drgas,70
5,Wojtek Jachimczyk,70
6,Tomasz Kowalik,66
7,Adrian Wilkowski,66
8,Jan Stawiński,60
9,Tomasz Sienkiewicz,60
10,Marcin Staszak,58
11,Szymon Grygowski,57
12,Sebastian Milewski,57
13,Michał Lewandowski,54
14,Tomek Tomczyk,50
15,Bartosz Nowacki,47
16,Dariusz  Michalski ,46
17,Wojciech Staniewski,44
18,Andrzej Gruch,39
19,Michal Masztal,39
20,Bartłomiej Szal,39
21,Michał Wolski,38
22,piotr mikolajczak,37
23,Maciej Stempniak,34
24,Piotr Kolodziejski,32
25,Jakub Filipiak,32
26,Michał Gólski,31
27,Maciej Danielak,30
28,Dominik  Płatek ,28
29,Andrzej Bibik,27
30,Maciej Raczak,20
31,Kamil Kaźmierski,20
32,Dawid Gulbicki,19
33,Piotr  Szachta,18
34,Mateusz Wolny,18
35,Mateusz Wiśniewski,16
36,Rafał Kajewski,1
