Id,Name,Points
0,Kacper Gajewy,82
1,Wojtek Jachimczyk,70
2,Dawid Ratajczyk,52
3,Szymon Balawajder,50
4,Michał Lewandowski,48
5,Marcin Staszak,44
6,Szymon Grygowski,41
7,Michal Masztal,39
8,Łukasz Surowiecki,36
9,Piotr Kolodziejski,32
10,Tomasz Drgas,31
11,Maciej Danielak,30
12,Andrzej Gruch,26
13,Jan Stawiński,26
14,piotr mikolajczak,25
15,Tomasz Kowalik,24
16,Adrian Wilkowski,22
17,Maciej Raczak,20
18,Michał Wolski,19
19,Dawid Gulbicki,19
20,Dariusz  Michalski ,18
21,Piotr  Szachta,18
22,Mateusz Wolny,18
23,Andrzej Bibik,16
24,Mateusz Wiśniewski,16
25,Dominik  Płatek ,12
26,Michał Gólski,9
27,Tomasz Sienkiewicz,8
28,Maciej Stempniak,4
29,Kamil Kaźmierski,4
30,Rafał Kajewski,1
