Id,Name,Points
0,Julia Drwęska-Michalska,98
1,Natalia  Jarosz,89
2,Jagoda Nowacka,82
3,Wiktoria Kuropaczewska,67
4,Barbara Woj,67
5,Dominika Matyjaszczyk ,64
6,Sara Struzik,64
7,Jolanta Jacek,57
8,Dżemila Murzicz,56
9,Marianna Ignasiak,44
10,Natalia Kita,43
11,Ania Rogala,39
12,Nicol Zylka,25
13,Maria Brykner,24
14,Paulina Ratajczyk,16
15,Katarzyna Łojek,13
16,Patrycja Bartoszewska,12
17,Ewa Profaska,11
18,Joanna  Nawrocka-Rohnka ,10
