Id,Name,Points
0,Kacper Gajewy,137
1,Dawid Ratajczyk,134
2,Szymon Balawajder,123
3,Adrian Wilkowski,119
4,Wojtek Jachimczyk,117
5,Łukasz Surowiecki,115
6,Tomasz Drgas,111
7,Tomasz Sienkiewicz,89
8,Szymon Grygowski,85
9,Marcin Staszak,79
10,Bartosz Nowacki,77
11,Michał Lewandowski,76
12,Jan Stawiński,76
13,piotr mikolajczak,74
14,Bartłomiej Szal,67
15,Tomasz Kowalik,66
16,Wojtek Zieliński,62
17,Piotr Kolodziejski,62
18,Maciej Stempniak,57
19,Sebastian Milewski,57
20,Maciej Danielak,54
21,Andrzej Bibik,53
22,Tomek Tomczyk,50
23,Dariusz  Michalski ,46
24,Wojciech Staniewski,44
25,Andrzej Gruch,39
26,Michal Masztal,39
27,Michał Wolski,38
28,Jakub Filipiak,32
29,Michał Gólski,31
30,Dominik  Płatek ,28
31,Maciej Raczak,20
32,Kamil Kaźmierski,20
33,Dawid Gulbicki,19
34,Piotr  Szachta,18
35,Mateusz Wolny,18
36,Mateusz Wiśniewski,16
37,Rafał Kajewski,1
