Id,Name,Points
0,Kacper Gajewy,116
1,Wojtek Jachimczyk,116
2,Szymon Balawajder,105
3,Łukasz Surowiecki,96
4,Adrian Wilkowski,95
5,Dawid Ratajczyk,89
6,Szymon Grygowski,81
7,Marcin Staszak,79
8,Bartosz Nowacki,77
9,Tomasz Drgas,70
10,Tomasz Kowalik,66
11,Tomasz Sienkiewicz,66
12,Wojtek Zieliński,62
13,Jan Stawiński,60
14,Sebastian Milewski,57
15,Michał Lewandowski,54
16,Tomek Tomczyk,50
17,piotr mikolajczak,49
18,Dariusz  Michalski ,46
19,Wojciech Staniewski,44
20,Andrzej Gruch,39
21,Michal Masztal,39
22,Bartłomiej Szal,39
23,Michał Wolski,38
24,Maciej Stempniak,34
25,Andrzej Bibik,33
26,Piotr Kolodziejski,32
27,Jakub Filipiak,32
28,Michał Gólski,31
29,Maciej Danielak,30
30,Dominik  Płatek ,28
31,Maciej Raczak,20
32,Kamil Kaźmierski,20
33,Dawid Gulbicki,19
34,Piotr  Szachta,18
35,Mateusz Wolny,18
36,Mateusz Wiśniewski,16
37,Rafał Kajewski,1
