Id,Name,Points
0,Kacper Gajewy,184
1,Dawid Ratajczyk,172
2,Szymon Balawajder,165
3,Szymon Grygowski,150
4,Jan Stawiński,147
5,Tomasz Drgas,139
6,Adrian Wilkowski,139
7,Łukasz Surowiecki,138
8,Wojtek Zieliński,126
9,Wojtek Jachimczyk,117
10,Michał Lewandowski,111
11,Tomasz Sienkiewicz,110
12,Piotr Kolodziejski,104
13,Bartłomiej Szal,99
14,piotr mikolajczak,98
15,Marcin Staszak,98
16,Maciej Danielak,90
17,Dariusz  Michalski ,78
18,Bartosz Nowacki,77
19,Dominik  Płatek ,68
20,Tomasz Kowalik,66
21,Andrzej Gruch,66
22,Andrzej Bibik,62
23,Maciej Raczak,60
24,Maciej Stempniak,57
25,Sebastian Milewski,57
26,Tomek Tomczyk,50
27,Wojciech Staniewski,44
28,Michal Masztal,39
29,Michał Wolski,38
30,Jakub Filipiak,32
31,Michał Gólski,31
32,Kamil Kaźmierski,20
33,Dawid Gulbicki,19
34,Piotr  Szachta,18
35,Mateusz Wolny,18
36,Mateusz Wiśniewski,16
37,Rafał Kajewski,2
