Id,Name,Points
0,Kacper Gajewy,93
1,Dawid Ratajczyk,89
2,Łukasz Surowiecki,75
3,Szymon Balawajder,71
4,Tomasz Drgas,70
5,Wojtek Jachimczyk,70
6,Tomasz Kowalik,60
7,Szymon Grygowski,57
8,Sebastian Milewski,57
9,Tomek Tomczyk,50
10,Michał Lewandowski,48
11,Dariusz  Michalski ,46
12,Marcin Staszak,44
13,Michal Masztal,39
14,Adrian Wilkowski,38
15,Maciej Stempniak,34
16,Piotr Kolodziejski,32
17,Jakub Filipiak,32
18,Maciej Danielak,30
19,Dominik  Płatek ,28
20,Andrzej Bibik,27
21,Andrzej Gruch,26
22,Jan Stawiński,26
23,piotr mikolajczak,25
24,Maciej Raczak,20
25,Kamil Kaźmierski,20
26,Michał Wolski,19
27,Dawid Gulbicki,19
28,Piotr  Szachta,18
29,Mateusz Wolny,18
30,Mateusz Wiśniewski,16
31,Tomasz Sienkiewicz,12
32,Michał Gólski,9
33,Rafał Kajewski,1
