Id,Name,Points
0,Julia Drwęska-Michalska,37
1,Jagoda Nowacka,32
2,Wiktoria Kuropaczewska,24
3,Natalia  Jarosz,24
4,Dominika Matyjaszczyk ,23
5,Jolanta Jacek,21
6,Barbara Woj,19
7,Dżemila Murzicz,18
8,Natalia Kita,16
9,Nicol Zylka,15
10,Ania Rogala,14
11,Marianna Ignasiak,12
12,Patrycja Bartoszewska,12
13,Ewa Profaska,11
14,Joanna  Nawrocka-Rohnka ,10
