Id,Name,Points
0,Wojtek Jachimczyk,116
1,Szymon Balawajder,101
2,Łukasz Surowiecki,94
3,Kacper Gajewy,93
4,Dawid Ratajczyk,89
5,Szymon Grygowski,81
6,Bartosz Nowacki,77
7,Tomasz Drgas,70
8,Tomasz Kowalik,66
9,Adrian Wilkowski,66
10,Tomasz Sienkiewicz,66
11,Wojtek Zieliński,62
12,Marcin Staszak,60
13,Jan Stawiński,60
14,Sebastian Milewski,57
15,Michał Lewandowski,54
16,Tomek Tomczyk,50
17,piotr mikolajczak,49
18,Dariusz  Michalski ,46
19,Wojciech Staniewski,44
20,Andrzej Gruch,39
21,Michal Masztal,39
22,Bartłomiej Szal,39
23,Michał Wolski,38
24,Maciej Stempniak,34
25,Piotr Kolodziejski,32
26,Jakub Filipiak,32
27,Andrzej Bibik,31
28,Michał Gólski,31
29,Maciej Danielak,30
30,Dominik  Płatek ,28
31,Maciej Raczak,20
32,Kamil Kaźmierski,20
33,Dawid Gulbicki,19
34,Piotr  Szachta,18
35,Mateusz Wolny,18
36,Mateusz Wiśniewski,16
37,Rafał Kajewski,1
