Id,Name,Points
0,Kacper Gajewy,93
1,Dawid Ratajczyk,89
2,Łukasz Surowiecki,75
3,Szymon Balawajder,71
4,Tomasz Drgas,70
5,Wojtek Jachimczyk,70
6,Tomasz Kowalik,60
7,Jan Stawiński,60
8,Tomasz Sienkiewicz,60
9,Marcin Staszak,58
10,Szymon Grygowski,57
11,Sebastian Milewski,57
12,Michał Lewandowski,54
13,Tomek Tomczyk,50
14,Bartosz Nowacki,47
15,Dariusz  Michalski ,46
16,Andrzej Gruch,39
17,Michal Masztal,39
18,Adrian Wilkowski,38
19,piotr mikolajczak,37
20,Maciej Stempniak,34
21,Piotr Kolodziejski,32
22,Jakub Filipiak,32
23,Michał Gólski,31
24,Maciej Danielak,30
25,Dominik  Płatek ,28
26,Andrzej Bibik,27
27,Maciej Raczak,20
28,Kamil Kaźmierski,20
29,Michał Wolski,19
30,Dawid Gulbicki,19
31,Piotr  Szachta,18
32,Mateusz Wolny,18
33,Mateusz Wiśniewski,16
34,Rafał Kajewski,1
