Id,Name,Points
0,Wiktoria Kuropaczewska,20
1,Jagoda Nowacka,20
2,Dominika Matyjaszczyk ,17
3,Nicol Zylka,11
4,Barbara Woj,10
5,Joanna  Nawrocka-Rohnka ,10
6,Dżemila Murzicz,6
