Id,Name,Points
0,Kacper Gajewy,184
1,Dawid Ratajczyk,172
2,Szymon Balawajder,165
3,Szymon Grygowski,150
4,Wojtek Jachimczyk,149
5,Tomasz Drgas,147
6,Jan Stawiński,147
7,Adrian Wilkowski,139
8,Łukasz Surowiecki,138
9,Wojtek Zieliński,126
10,Michał Lewandowski,111
11,Bartłomiej Szal,111
12,Tomasz Sienkiewicz,110
13,Piotr Kolodziejski,104
14,Maciej Danielak,99
15,piotr mikolajczak,98
16,Maciej Raczak,84
17,Dariusz  Michalski ,79
18,Bartosz Nowacki,77
19,Marcin Staszak,71
20,Dominik  Płatek ,68
21,Tomasz Kowalik,66
22,Andrzej Gruch,66
23,Andrzej Bibik,62
24,Maciej Stempniak,57
25,Sebastian Milewski,57
26,Tomek Tomczyk,50
27,Wojciech Staniewski,44
28,Michal Masztal,39
29,Michał Wolski,38
30,Jakub Filipiak,32
31,Michał Gólski,31
32,Kamil Kaźmierski,27
33,Dawid Gulbicki,19
34,Piotr  Szachta,18
35,Mateusz Wolny,18
36,Mateusz Wiśniewski,16
37,Rafał Kajewski,2
