Id,Name,Points
0,Jagoda Nowacka,20
1,Wiktoria Kuropaczewska,18
2,Dominika Matyjaszczyk ,17
3,Joanna  Nawrocka-Rohnka ,10
4,Dżemila Murzicz,6
